"RESOURCE_TYPE","DOI_NAME","DOI_TITLE","DOI_SPECIAL","DOI_CREATOR","DOI_DISTRIBUTOR","YEAR","URL","STATUS","PROVIDER","SUBMITTER"
"vector, tabular, document","10.7927/FQ7G-NY13","Global High Resolution Daily Urban Extreme Heat Exposure (UHE-Daily), 1983 - 2016","","Tuholske, C.|Caylor, K.|Funk, C.|Verdin, A.|Sweeney, S.|Grace, K.|Peterson, P.|Evans, T.","NASA Socioeconomic Data and Applications Center","2021","https://sedac.ciesin.columbia.edu/data/set/sdei-high-res-daily-uhe-1983-2016","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/N1BR-DZ33","Documentation for the Natural Resource Protection and Child Health Indicators, 2020 Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2021","https://sedac.ciesin.columbia.edu/data/set/nrmi-natural-resource-protection-child-health-indicators-2020/docs","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/TG7R-N260","Documentation for the Global Human Settlement Layer: Population and Built-Up Estimates, and Degree of Urbanization Settlement Model Grid","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2021","https://sedac.ciesin.columbia.edu/data/set/ghsl-population-built-up-estimates-degree-urban-smod/docs","Active","Socioeconomic Data and Applications Center",""
"document","10.7927/H4251G48","Socioeconomic Data and Applications Center (SEDAC) Collection of Treaty Texts","","Center For International Earth Science Information Network-CIESIN-Columbia University|United Nations Environmental Programme-UNEP|Fletcher School Of Law And Diplomacy-FSLD-Tufts University","NASA Socioeconomic Data and Applications Center","2002","https://www.ciesin.columbia.edu/data/entri/","Active","Socioeconomic Data and Applications Center",""
"tabular","10.7927/H4DZ067Z","Environmental Treaty Status Data Set, 2012 Release","","International Union For The Conservation Of Nature And Natural Resources-IUCN","NASA Socioeconomic Data and Applications Center","2012","https://www.ciesin.columbia.edu/data/entri/","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/H44J0C25","Documentation for the Global Subnational Infant Mortality Rates, Version 2","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2017","https://beta.sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates-v2/docs","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/H4C53HSR","Documentation for the Global Rural-Urban Mapping Project, Version 1 (GRUMPv1): Urban Extent Polygons, Revision 01","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2017","https://beta.sedac.ciesin.columbia.edu/data/set/grump-v1-urban-ext-polygons-rev01/docs","Active","Socioeconomic Data and Applications Center",""
"database","10.7927/HN96-9703","Shared Socioeconomic Pathways (SSPs) Literature Database, v1, 2014-2019","","Green, C.|Carlisle, D.|O'Neill, B. C.|van Ruijven, B. J.|Boyer, C.|Ebi, K.","NASA Socioeconomic Data and Applications Center","2021","https://sedac.ciesin.columbia.edu/data/set/ssp-ssp-literature-db-v1","Active","Socioeconomic Data and Applications Center",""
"raster, map, map service","10.7927/9RYJ-6467","VIIRS Plus DMSP Change in Lights (VIIRS+DMSP dLIGHT)","","Small, C.|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2020","https://sedac.ciesin.columbia.edu/data/set/sdei-viirs-dmsp-dlight","Active","Socioeconomic Data and Applications Center",""
"raster, vector, tabular, map, map service","10.7927/0GDN-6Y33","Global Subnational Infant Mortality Rates, Version 2.01","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2021","https://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates-v2-01","Active","Socioeconomic Data and Applications Center",""
"raster, map, map service","10.7927/GA8J-WZ84","Global Pesticide Grids (PEST-CHEMGRIDS)","","Maggi, F.|Tang, F.H.M.|La Cecilia, D.|McBratney, A.","NASA Socioeconomic Data and Applications Center","2019","https://beta.sedac.ciesin.columbia.edu/data/set/ferman-v1-pest-chemgrids","Active","Socioeconomic Data and Applications Center",""
"population estimation service","10.7927/H4DR2SK5","Population Estimation Service, Version 3 (PES-v3)","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2018","http://sedac.ciesin.columbia.edu/data/collection/gpw-v4/population-estimation-service","Active","Socioeconomic Data and Applications Center",""
"raster, map, map service","10.7927/H4TT4P2C","Trends in Global Freshwater Availability from the Gravity Recovery and Climate Experiment (GRACE), 2002-2016","","Rodell, M.|Famiglietti, J. S.|Wiese, D.N.|Reager, J. T.|Beaudoing, H. K.|Landerer, F. W.|Lo, M.-H.","NASA Socioeconomic Data and Applications Center","2019","https://sedac.ciesin.columbia.edu/data/set/sdei-trends-freshwater-availability-grace","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4Z03642","Gridded Population of the World, Version 4 (GPWv4): Land and Water Area, Revision 10","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2017","http://beta.sedac.ciesin.columbia.edu/data/set/gpw-v4-land-water-area-rev10","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H45H7D7F","Gridded Population of the World, Version 4 (GPWv4): Basic Demographic Characteristics, Revision 10","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2017","http://beta.sedac.ciesin.columbia.edu/data/set/gpw-v4-basic-demographic-characteristics-rev10","Active","Socioeconomic Data and Applications Center",""
"vector; tabular; database; map","10.7927/H46H4FCT","Gridded Population of the World, Version 4 (GPWv4): Administrative Unit Center Points with Population Estimates, Revision 10","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2017","http://beta.sedac.ciesin.columbia.edu/data/set/gpw-v4-admin-unit-center-points-population-estimates-rev10","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H42R3PN3","Gridded Population of the World, Version 4 (GPWv4): Data Quality Indicators, Revision 10","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2017","http://beta.sedac.ciesin.columbia.edu/data/set/gpw-v4-data-quality-indicators-rev10","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4T72FDB","Gridded Population of the World, Version 4 (GPWv4): National Identifier Grid, Revision 10","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2017","http://beta.sedac.ciesin.columbia.edu/data/set/gpw-v4-national-identifier-grid-rev10","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H4TB14V3","Gridded Population of the World, Version 4 (GPWv4): National Identifier Grid","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2015","http://www.datacite.org.s3-website-eu-west-1.amazonaws.com/invalid.html","Active","Socioeconomic Data and Applications Center",""
"raster, map, map service","10.7927/K9T6-GH59","Global Development Potential Indices","","Kennedy, C.M.|Oakleaf, J.R.|Theobald, D.M.|Baruch-Mordo, S.|Kiesecker, J.","NASA Socioeconomic Data and Applications Center","2020","https://sedac.ciesin.columbia.edu/data/set/lulc-development-potential-indices","Active","Socioeconomic Data and Applications Center",""
"raster; map","10.7927/H4TH8JNR","Gridded Population of the World, Version 4 (GPWv4): Population Density Adjusted to Match 2015 UN WPP Country Totals, Beta Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2015","http://sedac.ciesin.columbia.edu/data/collection/gpw-v4/documentation","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H4M043BS","Gridded Population of the World, Version 4 (GPWv4): Land  and Water Area, Beta Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2015","http://sedac.ciesin.columbia.edu/data/collection/gpw-v4/documentation","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4028PFS","Global Annual PM2.5 Grids from MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD), 1998-2012","","Van Donkelaar, A.","NASA Socioeconomic Data and Applications Center","2015","http://beta.sedac.ciesin.columbia.edu/data/set/sdei-global-annual-avg-pm2-5-modis-misr-seawifs-aod-1998-2012","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H4PR7SX1","Gridded Population of the World, Version 4 (GPWv4): Population Count Adjusted to Match 2015 UN WPP Country Totals, Beta Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2015","http://sedac.ciesin.columbia.edu/data/collection/gpw-v4/documentation","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H41V5BX1","Gridded Population of the World, Version 4 (GPWv4): National Identifier Grid","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2016","http://beta.sedac.ciesin.columbia.edu/data/set/gpw-v4-national-identifier-grid","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H4QR4V2T","Gridded Population of the World, Version 4 (GPWv4): Data Quality Indicators, Beta Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2015","http://sedac.ciesin.columbia.edu/data/collection/gpw-v4/documentation","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/H4D50JX4","Documentation for Gridded Population of the World, Version 4 (GPWv4)","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2016","https://beta.sedac.ciesin.columbia.edu/downloads/docs/gpw-v4/gpw-v4-documentation.pdf","Active","Socioeconomic Data and Applications Center",""
"vector; tabular","10.7927/H4VH5KS4","Gridded Population of the World, Version 4 (GPWv4): Administrative Unit Center Points with Population Estimates, Beta Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2015","http://sedac.ciesin.columbia.edu/data/collection/gpw-v4/documentation","Active","Socioeconomic Data and Applications Center",""
"raster; map","10.7927/H46T0JKB","Gridded Population of the World, Version 4 (GPWv4): Population Density, Beta Release","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2015","http://sedac.ciesin.columbia.edu/data/collection/gpw-v4/documentation","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4Z899CG","Global Grid of Probabilities of Urban Expansion to 2030","","Seto, K.|Güneralp, B.|Hutyra, L.R.","NASA Socioeconomic Data and Applications Center","2015","https://sedac.ciesin.columbia.edu/data/set/lulc-global-grid-prob-urban-expansion-2030","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4862DC5","Global Cyclone Mortality Risks and Distribution","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development- The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-cyclone-mortality-risks-distribution","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H49021PW","Global Landslide Total Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-landslide-total-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4BR8Q45","Global Volcano Hazard Frequency and Distribution","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-volcano-hazard-frequency-distribution","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4BZ63ZS","Global Earthquake Hazard Distribution - Peak Ground Acceleration","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-earthquake-distribution-peak-ground-acceleration","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4CZ353K","Global Cyclone Hazard Frequency and Distribution","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank|United Nations Environment Programme Global Resource Information Database Geneva-UNEP GRID-Geneva","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-cyclone-hazard-frequency-distribution","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4DR2SDX","Global Landslide Proportional Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University; Center For International Earth Science Information Network-CIESIN-Columbia University; International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-landslide-proportional-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4GQ6VP4","Global Drought Total Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-drought-total-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4H12ZXD","Anthropogenic Biomes of the World, Version 1","","Ellis, E.C.|Ramankutty, N.","NASA Socioeconomic Data and Applications Center","2008","https://sedac.ciesin.columbia.edu/data/set/anthromes-anthropogenic-biomes-world-v1","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4H41PB4","Global Annual Average PM2.5 Grids from MODIS and MISR Aerosol Optical Depth (AOD)","","Battelle Memorial Institute; Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2013","http://beta.sedac.ciesin.columbia.edu/data/set/sdei-global-annual-avg-pm2-5-2001-2010","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4J1012K","Anthropogenic Biomes of the World, Version 2: 1900","","Ellis, E.C.|Goldewijk, K.K.|Siebert, S.","NASA Socioeconomic Data and Applications Center","2013","https://sedac.ciesin.columbia.edu/data/set/anthromes-anthropogenic-biomes-world-v2-1900","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4JH3J4N","Global Landslide Mortality Risks and Distribution","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-landslide-mortality-risks-distribution","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4MG7MDV","Global Drought Proportional Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University; Center For International Earth Science Information Network-CIESIN-Columbia University; International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-drought-proportional-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4NP22C8","Anthropogenic Biomes of the World, Version 2: 1800","","Ellis, E.C.|Goldewijk, K.K.|Siebert, S.","NASA Socioeconomic Data and Applications Center","2013","https://sedac.ciesin.columbia.edu/data/set/anthromes-anthropogenic-biomes-world-v2-1800","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4SF2T3M","Anthropogenic Biomes of the World, Version 2: 1700","","Ellis, E.C.|Goldewijk, K.K.|Siebert, S.","NASA Socioeconomic Data and Applications Center","2013","https://sedac.ciesin.columbia.edu/data/set/anthromes-anthropogenic-biomes-world-v2-1700","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4T151KP","Global Flood Total Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-flood-total-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4TX3C9F","Global Earthquake Total Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-earthquake-total-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4VX0DFT","Global Drought Hazard Frequency and Distribution","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Research Institute For Climate And Society-IRI-Columbia University","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-drought-hazard-frequency-distribution","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4XS5S9Q","Global Flood Proportional Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-flood-proportional-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4ZK5DMF","Global Volcano Total Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-volcano-total-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4765C7S","Global Earthquake Hazard Frequency and Distribution","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-earthquake-frequency-distribution","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4736NT2","Global Volcano Mortality Risks and Distribution","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-volcano-mortality-risks-distribution","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4668B3D","Global Flood Hazard Frequency and Distribution","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-flood-hazard-frequency-distribution","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H44F1NNF","Global Cyclone Proportional Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development -The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-cyclone-proportional-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H43F4MH2","Global Earthquake Mortality Risks and Distribution","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-earthquake-mortality-risks-distribution","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H43B5X3R","Global Volcano Proportional Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-volcano-proportional-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H42F7KCP","Global Flood Mortality Risks and Distribution","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-flood-mortality-risks-distribution","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H40P0WXQ","Global Cyclone Total Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development -The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-cyclone-total-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"raster; map","10.7927/H4WS8R5B","Global Multihazard Proportional Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-multihazard-proportional-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"raster; map","10.7927/H4S180F9","Global Multihazard Total Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-multihazard-total-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"raster; map","10.7927/H45718Z5","Global Multihazard Frequency and Distribution","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-multihazard-frequency-distribution","Active","Socioeconomic Data and Applications Center",""
"raster; map","10.7927/H41J97NM","Global Multihazard Mortality Risks and Distribution","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-multihazard-mortality-risks-distribution","Active","Socioeconomic Data and Applications Center",""
"raster, map; map service","10.7927/H4J67DW8","Global Mangrove Forests Distribution, 2000","","Giri, C.|Ochieng, E.|Tieszen, L.L.|Zhu, Z.|Singh, A.|Loveland, T.|Masek, J.|Duke, N.","NASA Socioeconomic Data and Applications Center","2013","https://sedac.ciesin.columbia.edu/data/set/lulc-global-mangrove-forests-distribution-2000","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H4CN71V6","Last of the Wild Project, Version 1, 2002 (LWP-1): Global Human Footprint Dataset (Geographic)","","Wildlife Conservation Society-WCS|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2002","https://sedac.ciesin.columbia.edu/data/set/wildareas-v1-human-footprint-geographic","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H47W694W","Last of the Wild Project, Version 1, 2002 (LWP-1): Global Human Footprint Dataset (IGHP)","","Wildlife Conservation Society-WCS|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2002","https://sedac.ciesin.columbia.edu/data/set/wildareas-v1-human-footprint-ighp","Active","Socioeconomic Data and Applications Center",""
"vector","10.7927/H4VM496V","Last of the Wild Project, Version 1, 2002 (LWP-1): Top One Percent Wild Areas Dataset (Geographic)","","Wildlife Conservation Society-WCS|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2002","https://sedac.ciesin.columbia.edu/data/set/wildareas-v1-top-one-percent-wild-areas-geographic","Active","Socioeconomic Data and Applications Center",""
"vector","10.7927/H4QV3JG4","Last of the Wild Project, Version 1, 2002 (LWP-1): Top One Percent Wild Areas Dataset (IGHP)","","Wildlife Conservation Society-WCS|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2002","https://sedac.ciesin.columbia.edu/data/set/wildareas-v1-top-one-percent-wild-areas-ighp","Active","Socioeconomic Data and Applications Center",""
"vector","10.7927/H4445JDG","Last of the Wild Project, Version 1, 2002 (LWP-1): Last of the Wild Dataset (Geographic)","","Wildlife Conservation Society-WCS|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2002","https://sedac.ciesin.columbia.edu/data/set/wildareas-v1-last-of-the-wild-geographic","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4ZP4415","Global Earthquake Proportional Economic Loss Risk Deciles","","Center For Hazards And Risk Research-CHRR-Columbia University|Center For International Earth Science Information Network-CIESIN-Columbia University|International Bank For Reconstruction And Development-The World Bank","NASA Socioeconomic Data and Applications Center","2005","https://sedac.ciesin.columbia.edu/data/set/ndh-earthquake-proportional-economic-loss-risk-deciles","Active","Socioeconomic Data and Applications Center",""
"tabular; map service","10.7927/H4CC0XMD","Sea Level Rise Impacts on Ramsar Wetlands of International Importance","","Center For International Earth Science Information Network - CIESIN - Columbia University","NASA Socioeconomic Data and Applications Center","2013","https://sedac.ciesin.columbia.edu/data/set/lecz-slr-impacts-ramsar-wetlands","Active","Socioeconomic Data and Applications Center",""
"vector","10.7927/H40C4SPR","Last of the Wild Project, Version 1, 2002 (LWP-1): Last of the Wild Dataset (IGHP)","","Wildlife Conservation Society-WCS|Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2002","https://sedac.ciesin.columbia.edu/data/set/wildareas-v1-last-of-the-wild-ighp","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/H4B56GPT","Documentation for the Gridded Population of the World, Version 4 (GPWv4), Revision 10 Data Sets","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2017","https://beta.sedac.ciesin.columbia.edu/downloads/docs/gpw-v4/gpw-v4-documentation-rev10.pdf","Active","Socioeconomic Data and Applications Center",""
"documentation","10.7927/H4QF8QTF","Documentation for the Global Fire Emissions Indicators, Grids: 1997-2015","","Giglio, L.|Randerson, J.T.|van der Werf, G.R.","NASA Socioeconomic Data and Applications Center","2016","https://sedac.ciesin.columbia.edu/data/set/sdei-global-fire-emissions-indicators-grids-1997-2015/docs","Active","Socioeconomic Data and Applications Center",""
"raster","10.7927/H44747X4","Global Population Projection Grids Based on Shared Socioeconomic Pathways (SSPs), Downscaled 1-km Grids, 2010-2100","","Jones, B.|O’Neill, B.C.","NASA Socioeconomic Data and Applications Center","2019","https://beta.sedac.ciesin.columbia.edu/data/set/popdynamics-pop-projection-ssp-downscaled-1km-2010-2100","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H400002V","Global Fire Emissions Indicators, Grids: 1997-2015","","Giglio, L.|Randerson, J.T.|van der Werf, G.R.","NASA Socioeconomic Data and Applications Center","2016","https://sedac.ciesin.columbia.edu/data/set/sdei-global-fire-emissions-indicators-grids-1997-2015","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H40G3H78","Altimeter Corrected Elevations, Version 2 (ACE2)","","Berry, P.A.M.|Smith, R.|Benveniste, J.","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/dedc-ace-v2","Active","Socioeconomic Data and Applications Center",""
