"RESOURCE_TYPE","DOI_NAME","DOI_TITLE","DOI_SPECIAL","DOI_CREATOR","DOI_DISTRIBUTOR","YEAR","URL","STATUS","PROVIDER","SUBMITTER"
"Data Files","10.3334/ORNLDAAC/1424","CARVE: L1 In-situ Carbon and CH4 Flux and Meteorology at EC Towers, Alaska, 2011-2015","","OECHEL, W.|VERFAILLIE, J.|VOURLITIS, G.|ZULUETA, R.","NASA Oak Ridge National Laboratory DAAC","2016","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1424","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1425","CARVE: L1 Daily Flight Path Geolocation and Aircraft Position Data, Alaska, 2012-2015","","CARVE Science Team","NASA Oak Ridge National Laboratory DAAC","2017","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1425","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1426","CARVE: L1 Spectral Radiances from Airborne FTS, Alaska, 2012-2015","","KUROSU, T.P.|MILLER, C.E.|DINARDO, S.J.|CARVE Science Team","NASA Oak Ridge National Laboratory DAAC","2017","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1426","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1427","CARVE: L1 Daily Flight Path and Winds Data, Alaska, 2015","","CARVE Science Team","NASA Oak Ridge National Laboratory DAAC","2017","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1427","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1428","CARVE: L1 Airborne Forward Looking Infrared Radiance Counts, Alaska, 2013-2015","","STEINER, N.|MCDONALD, K.C.|PODEST, E.|MILLER, C.E.|DINARDO, S.J.","NASA Oak Ridge National Laboratory DAAC","2017","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1428","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1429","CARVE: L2 Column Gas and Uncertainty from Airborne FTS, Alaska, 2012-2015","","DUPONT, F.|TANGUAY, F.|Li, M.|PERRON, G.|MILLER, C.E.|DINARDO, S.J.|KUROSU, T.P.","NASA Oak Ridge National Laboratory DAAC","2017","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1429","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/143","Forest Canopy Composition (SNF)","","HALL, F.G.|HUEMMRICH, K.F.|STREBEL, D.E.|GOETZ, S.J.|NICKESON, J.E.|WOODS, K.D.","NASA Oak Ridge National Laboratory DAAC","1996","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=143","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1430","CARVE: L4 Gridded Particle Trajectories for WRF-STILT model, 2012-2016","","CARVE Science Team","NASA Oak Ridge National Laboratory DAAC","2017","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1430","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1431","CARVE: L4 Gridded Footprints from WRF-STILT model, 2012-2016","","HENDERSON, J.|MILLER, J.B.|NEHRKORN, T.|CHANG, R.Y-W.|SWEENEY, C.|STEINER, N.|WOFSY, S.C.|MILLER, C.E.","NASA Oak Ridge National Laboratory DAAC","2017","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1431","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1432","CARVE: L0 Atmospheric Gas Concentrations from Airborne CRDS, Alaska, 2012-2015","","CARVE Science Team","NASA Oak Ridge National Laboratory DAAC","2017","https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1432","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1433","CARVE: In-flight Videos from the CARVE Aircraft, Alaska, 2012-2015","","CARVE Science Team","NASA Oak Ridge National Laboratory DAAC","2017","https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1433","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1434","CARVE: Daily Flight Reports, 2012-2015","","MILLER, C.E.","NASA Oak Ridge National Laboratory DAAC","2017","https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1434","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/1435","CARVE: In-flight Photos from the CARVE Aircraft, Alaska, 2013-2015","","CARVE Science Team","NASA Oak Ridge National Laboratory DAAC","2017","https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=1435","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/144","Helicopter MMR Reflectance Data (SNF)","","HALL, F.G.|HUEMMRICH, K.F.|STREBEL, D.E.|GOETZ, S.J.|NICKESON, J.E.|WOODS, K.D.","NASA Oak Ridge National Laboratory DAAC","1996","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=144","Active","Oak Ridge National Laboratory DAAC",""
"Data Files","10.3334/ORNLDAAC/145","NPP Grassland: Central Plains Experimental Range (SGS), USA, 1939-1990, R1","","URESK, D.|SIMS, P.L.|DODD, J.L.","NASA Oak Ridge National Laboratory DAAC","2015","http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=145","Active","Oak Ridge National Laboratory DAAC",""
